date,mean_2m_air_temperature,total_precipitation
1980-06-06,288.2234497,3.76E-06
1980-06-07,288.3035889,0
1980-06-08,288.6478271,0
1980-06-09,288.8773804,4.28E-08
1980-06-10,288.8764648,0
1980-06-11,288.8529968,1.86E-09
1980-06-12,288.2076721,1.05E-06
1980-06-13,286.9505005,0
1980-06-14,288.1355896,0
1980-06-15,288.4572144,0
1980-06-16,289.5753479,0
1980-06-17,288.4301453,7.00E-07
1980-06-18,287.3485413,1.86E-09
1980-06-19,287.069397,4.28E-08
1980-06-20,286.7758789,1.86E-09
1980-06-21,288.9472351,4.10E-08
1980-06-22,287.6343079,0
1980-06-23,286.3005981,0
1980-06-24,286.3871765,1.86E-09
1980-06-25,287.2218323,4.28E-08
1980-06-26,287.840271,1.86E-09
1980-06-27,289.5787354,4.28E-08
1980-06-28,289.7122192,0
1980-06-29,285.1941833,0
1980-06-30,286.2730408,0
1980-07-01,287.1263733,0
1980-07-02,286.8766174,3.93E-04
1980-07-03,286.2003479,4.28E-08
1980-07-04,286.1114807,0
1980-07-05,286.1531372,0
1980-07-06,286.4075012,0
1980-07-07,287.8141785,1.86E-09
1980-07-08,286.8112488,2.46E-04
1980-07-09,285.971344,2.95E-06
1980-07-10,285.7512512,4.47E-08
1980-07-11,285.5766602,4.47E-08
1980-07-12,286.6077881,4.10E-08
1980-07-13,287.8083801,0
1980-07-14,288.5246582,0
1980-07-15,288.4259644,0
1980-07-16,288.9802551,2.89E-05
1980-07-17,288.2166138,7.29E-04
1980-07-18,287.1234436,1.69E-04
1980-07-19,287.0585022,0
1980-07-20,289.2000122,0
1980-07-21,289.6135864,4.47E-08
1980-07-22,288.4006653,4.47E-08
1980-07-23,290.015625,4.47E-08
1980-07-24,289.1001892,4.52E-05
1980-07-25,287.7116394,1.86E-09
1980-07-26,288.0602417,1.20E-06
1980-07-27,288.5100403,2.87E-04
1980-07-28,287.8794861,2.88E-04
1980-07-29,289.2648926,1.22E-06
1980-07-30,291.9533691,1.86E-09
1980-07-31,294.8067322,4.28E-08
1980-08-01,294.3428955,0
1980-08-02,291.9985657,0
1980-08-03,289.9128113,5.36E-07
1980-08-04,290.6767273,0
1980-08-05,289.7290955,4.44E-05
1980-08-06,289.4265137,3.91E-04
1980-08-07,289.0610657,1.93E-04
1980-08-08,289.8755493,0
1980-08-09,291.4276123,0
1980-08-10,292.2676392,4.39E-06
1980-08-11,290.5720825,4.03E-04
1980-08-12,293.6130981,0
1980-08-13,294.6645203,0
1980-08-14,290.4777832,0
1980-08-15,288.2425842,0
1980-08-16,288.9777527,0
1980-08-17,290.1645203,0
1980-08-18,289.6207886,1.86E-09
1980-08-19,289.3580627,4.28E-08
1980-08-20,292.0462646,9.31E-10
1980-08-21,290.9541321,3.15E-06
1980-08-22,291.0240784,4.28E-08
1980-08-23,291.4772949,0
1980-08-24,293.1332703,0
1980-08-25,294.2148743,0
1980-08-26,295.2472534,0
1980-08-27,296.3234558,2.87E-05
1980-08-28,292.7202148,7.38E-04
1980-08-29,292.0174561,2.86E-04
1980-08-30,292.5198669,2.90E-04
1980-08-31,292.5030212,0
1980-09-01,294.1664734,1.86E-09
1980-09-02,296.0299072,4.47E-08
1980-09-03,297.5879517,4.28E-08
1980-09-04,297.3642273,1.86E-09
1980-09-05,296.4202576,4.28E-08
1980-09-06,296.6540222,3.73E-09
1980-09-07,297.9714661,6.48E-07
1980-09-08,291.6654663,9.49E-04
1980-09-09,289.4191589,0.030557793
1980-09-10,290.9743958,0.008457778
1980-09-11,292.4299622,9.53E-04
1980-09-12,294.5567627,0
1980-09-13,295.3079529,8.45E-05
1980-09-14,294.0733337,9.02E-04
1980-09-15,291.4884338,3.23E-04
1980-09-16,294.2431946,6.18E-06
1980-09-17,295.6995544,6.61E-04
1980-09-18,298.5550232,1.31E-05
1980-09-19,291.1453857,5.43E-05
1980-09-20,291.1005859,7.18E-05
1980-09-21,294.4981079,0
1980-09-22,297.6248169,5.12E-07
1980-09-23,292.3519287,4.77E-04
1980-09-24,289.57547,2.53E-04
1980-09-25,289.5155029,1.19E-06
1980-09-26,290.3139038,0.001975097
1980-09-27,293.1934814,1.04E-04
1980-09-28,295.5528564,9.99E-05
1980-09-29,294.7819214,4.28E-08
1980-09-30,293.2487488,1.06E-06
1980-10-01,293.608429,3.43E-06
1980-10-02,296.4208679,0
1980-10-03,299.5567627,4.73E-05
1980-10-04,292.7695007,4.32E-04
